    Date               NavPoint       TotalValue       ChangeOfValue
11-Jun-2020       128.76        99791.73       -1590.87
10-Jun-2020       130.81        101382.6       298.85
09-Jun-2020       130.43        101083.76       -648.61
08-Jun-2020       131.27        101732.37       523.6
05-Jun-2020       130.59        101208.77       1421.84
04-Jun-2020       128.75        99786.93       -77.81
03-Jun-2020       128.86        99864.74       473.38
02-Jun-2020       128.24        99391.36       733.71
01-Jun-2020       127.3        98657.65       1516.86
29-May-2020       125.34        97140.8       855.85
